value,coordinates,summary,sensor_id,location_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T20:00:00Z,2025-02-19T01:30:00+05:30,2025-02-18T20:15:00Z,2025-02-19T01:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T20:00:00Z,2025-02-19T01:30:00+05:30,2025-02-18T20:15:00Z,2025-02-19T01:45:00+05:30
0.39,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T20:15:00Z,2025-02-19T01:45:00+05:30,2025-02-18T20:30:00Z,2025-02-19T02:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T20:15:00Z,2025-02-19T01:45:00+05:30,2025-02-18T20:30:00Z,2025-02-19T02:00:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T20:30:00Z,2025-02-19T02:00:00+05:30,2025-02-18T20:45:00Z,2025-02-19T02:15:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T20:30:00Z,2025-02-19T02:00:00+05:30,2025-02-18T20:45:00Z,2025-02-19T02:15:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T20:45:00Z,2025-02-19T02:15:00+05:30,2025-02-18T21:00:00Z,2025-02-19T02:30:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T20:45:00Z,2025-02-19T02:15:00+05:30,2025-02-18T21:00:00Z,2025-02-19T02:30:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T21:00:00Z,2025-02-19T02:30:00+05:30,2025-02-18T21:15:00Z,2025-02-19T02:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T21:00:00Z,2025-02-19T02:30:00+05:30,2025-02-18T21:15:00Z,2025-02-19T02:45:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T21:15:00Z,2025-02-19T02:45:00+05:30,2025-02-18T21:30:00Z,2025-02-19T03:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T21:15:00Z,2025-02-19T02:45:00+05:30,2025-02-18T21:30:00Z,2025-02-19T03:00:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T21:30:00Z,2025-02-19T03:00:00+05:30,2025-02-18T21:45:00Z,2025-02-19T03:15:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T21:30:00Z,2025-02-19T03:00:00+05:30,2025-02-18T21:45:00Z,2025-02-19T03:15:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T21:45:00Z,2025-02-19T03:15:00+05:30,2025-02-18T22:00:00Z,2025-02-19T03:30:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T21:45:00Z,2025-02-19T03:15:00+05:30,2025-02-18T22:00:00Z,2025-02-19T03:30:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T22:00:00Z,2025-02-19T03:30:00+05:30,2025-02-18T22:15:00Z,2025-02-19T03:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T22:00:00Z,2025-02-19T03:30:00+05:30,2025-02-18T22:15:00Z,2025-02-19T03:45:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T22:15:00Z,2025-02-19T03:45:00+05:30,2025-02-18T22:30:00Z,2025-02-19T04:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T22:15:00Z,2025-02-19T03:45:00+05:30,2025-02-18T22:30:00Z,2025-02-19T04:00:00+05:30
0.42,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T22:30:00Z,2025-02-19T04:00:00+05:30,2025-02-18T22:45:00Z,2025-02-19T04:15:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T22:30:00Z,2025-02-19T04:00:00+05:30,2025-02-18T22:45:00Z,2025-02-19T04:15:00+05:30
0.42,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T22:45:00Z,2025-02-19T04:15:00+05:30,2025-02-18T23:00:00Z,2025-02-19T04:30:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T22:45:00Z,2025-02-19T04:15:00+05:30,2025-02-18T23:00:00Z,2025-02-19T04:30:00+05:30
0.43,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T23:00:00Z,2025-02-19T04:30:00+05:30,2025-02-18T23:15:00Z,2025-02-19T04:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T23:00:00Z,2025-02-19T04:30:00+05:30,2025-02-18T23:15:00Z,2025-02-19T04:45:00+05:30
0.42,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T23:15:00Z,2025-02-19T04:45:00+05:30,2025-02-18T23:30:00Z,2025-02-19T05:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T23:15:00Z,2025-02-19T04:45:00+05:30,2025-02-18T23:30:00Z,2025-02-19T05:00:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T23:30:00Z,2025-02-19T05:00:00+05:30,2025-02-18T23:45:00Z,2025-02-19T05:15:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T23:30:00Z,2025-02-19T05:00:00+05:30,2025-02-18T23:45:00Z,2025-02-19T05:15:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-18T23:45:00Z,2025-02-19T05:15:00+05:30,2025-02-19T00:00:00Z,2025-02-19T05:30:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-18T23:45:00Z,2025-02-19T05:15:00+05:30,2025-02-19T00:00:00Z,2025-02-19T05:30:00+05:30
0.41,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T00:00:00Z,2025-02-19T05:30:00+05:30,2025-02-19T00:15:00Z,2025-02-19T05:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T00:00:00Z,2025-02-19T05:30:00+05:30,2025-02-19T00:15:00Z,2025-02-19T05:45:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T00:15:00Z,2025-02-19T05:45:00+05:30,2025-02-19T00:30:00Z,2025-02-19T06:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T00:15:00Z,2025-02-19T05:45:00+05:30,2025-02-19T00:30:00Z,2025-02-19T06:00:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T00:30:00Z,2025-02-19T06:00:00+05:30,2025-02-19T00:45:00Z,2025-02-19T06:15:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T00:30:00Z,2025-02-19T06:00:00+05:30,2025-02-19T00:45:00Z,2025-02-19T06:15:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T00:45:00Z,2025-02-19T06:15:00+05:30,2025-02-19T01:00:00Z,2025-02-19T06:30:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T00:45:00Z,2025-02-19T06:15:00+05:30,2025-02-19T01:00:00Z,2025-02-19T06:30:00+05:30
0.4,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T01:00:00Z,2025-02-19T06:30:00+05:30,2025-02-19T01:15:00Z,2025-02-19T06:45:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T01:00:00Z,2025-02-19T06:30:00+05:30,2025-02-19T01:15:00Z,2025-02-19T06:45:00+05:30
0.42,,,12237012,278671,False,102,co,ppb,,raw,00:15:00,2025-02-19T01:15:00Z,2025-02-19T06:45:00+05:30,2025-02-19T01:30:00Z,2025-02-19T07:00:00+05:30,1,00:15:00,1,00:15:00,100.0,100.0,2025-02-19T01:15:00Z,2025-02-19T06:45:00+05:30,2025-02-19T01:30:00Z,2025-02-19T07:00:00+05:30
